depth_m,age_ka,d18O,dD
7.81,0.05,-50.1,
7.92,0.052,-50.11,
8.03,0.054,-50.05,
8.14,0.055,-49.83,
8.25,0.057,-50.21,
8.36,0.059,-50.19,
8.47,0.061,-51.07,
8.58,0.063,-52.08,
8.69,0.065,-51.27,
8.8,0.066,-48.21,
8.91,0.068,-49.25,
9.02,0.07,-52.68,
9.13,0.072,-51.11,
9.24,0.074,-49.26,
9.35,0.076,-49.99,
9.46,0.078,-49.96,
9.57,0.079,-50.56,
9.68,0.081,-50.82,
9.79,0.083,-49.77,
9.9,0.085,-49.67,
10.01,0.087,-51.04,
10.12,0.089,-48.59,
10.23,0.091,-50.07,
10.34,0.093,-52.06,
10.45,0.095,-52.72,
10.56,0.097,-52.52,
10.67,0.099,-48.85,
10.78,0.101,-48.89,
10.89,0.103,-48.46,
11,0.105,-49.39,
11.11,0.107,-50.99,
11.22,0.109,-51.51,
11.33,0.111,-51.24,
11.44,0.113,-50.47,
11.55,0.115,-51.67,
11.66,0.117,-51.56,
11.77,0.119,-52.15,
11.88,0.121,-52.27,
11.99,0.123,-50.25,
12.1,0.125,-49.54,
12.21,0.127,-50.18,
12.32,0.129,-50.14,
12.43,0.131,-50.13,
12.54,0.133,-49.3,
12.65,0.135,-50.72,
12.76,0.137,-50.11,
12.87,0.139,-49.6,
12.98,0.141,-51.39,
13.09,0.143,-50.2,
13.2,0.145,-51.22,
13.31,0.147,-50.72,
13.42,0.149,-48.93,
13.53,0.151,-47.73,
13.64,0.153,-50.08,
13.75,0.155,-50.4,
13.86,0.158,-49.99,
13.97,0.16,-50.89,
14.08,0.162,-52.3,
14.19,0.164,-51.81,
14.3,0.166,-48.76,
14.41,0.168,-50.59,
14.52,0.17,-50.57,
14.63,0.172,-50.34,
14.74,0.174,-50.72,
14.85,0.176,-53.42,
14.96,0.178,-51.95,
15.07,0.18,-51.4,
15.18,0.183,-50.89,
15.29,0.185,-51.52,
15.4,0.187,-50.52,
15.51,0.189,-49.72,
15.62,0.191,-50.19,
15.73,0.193,-50.07,
15.84,0.195,-50.79,
15.95,0.197,-50.89,
16.06,0.199,-50.58,
16.17,0.201,-51.12,
16.28,0.203,-51.49,
16.39,0.205,-53.17,
16.5,0.208,-53.61,
16.61,0.21,-50.34,
16.72,0.212,-49.31,
16.83,0.214,-49.48,
16.94,0.216,-50.04,
17.05,0.218,-50.47,
17.16,0.221,-49.5,
17.27,0.223,-49.15,
17.38,0.225,-49.86,
17.49,0.227,-50.57,
17.6,0.229,-49.55,
17.71,0.231,-49.41,
17.82,0.233,-48.05,
17.93,0.236,-47.55,
18.04,0.238,-51.05,
18.15,0.24,-51.82,
18.26,0.242,-51.54,
18.37,0.245,-50.4,
18.48,0.247,-50.3,
18.59,0.249,-50.25,
18.7,0.251,-50.37,
18.81,0.254,-50.21,
18.92,0.256,-50.03,
19.03,0.258,-50.22,
19.14,0.261,-51.04,
19.25,0.263,-50.23,
19.36,0.265,-51.18,
19.47,0.267,-52.46,
19.58,0.27,-51.35,
19.69,0.272,-50.12,
19.8,0.274,-51.62,
19.91,0.277,-51.67,
20.02,0.279,-49.8,
20.13,0.281,-51.23,
20.24,0.284,-52.75,
20.35,0.286,-50.21,
20.46,0.289,-49.11,
20.57,0.291,-49.86,
20.68,0.293,-50.71,
20.79,0.296,-51.33,
20.9,0.298,-52.31,
21.01,0.301,-52.58,
21.12,0.303,-51.65,
21.23,0.305,-50.45,
21.34,0.308,-50.52,
21.45,0.31,-51.26,
21.56,0.313,-51.49,
21.67,0.315,-50.69,
21.78,0.317,-50,
21.89,0.32,-51.39,
22,0.322,-50.87,
22.11,0.325,-50.75,
22.22,0.327,-51.73,
22.33,0.33,-51.03,
22.44,0.332,-49.66,
22.55,0.334,-51.12,
22.66,0.337,-51.25,
22.77,0.339,-50.19,
22.88,0.342,-50.08,
22.99,0.344,-50.79,
23.1,0.347,-52,
23.21,0.349,-52.1,
23.32,0.352,-51.95,
23.43,0.354,-51.11,
23.54,0.357,-49.86,
23.65,0.359,-50.38,
23.76,0.362,-50.71,
23.87,0.364,-51.35,
23.98,0.367,-50.94,
24.09,0.37,-51.26,
24.2,0.372,-51.59,
24.31,0.375,-51.88,
24.42,0.377,-52.17,
24.53,0.38,-51.59,
24.64,0.382,-50.67,
24.75,0.385,-50.8,
24.86,0.387,-52.24,
24.97,0.39,-50.46,
25.08,0.393,-49.96,
25.19,0.395,-50.26,
25.3,0.398,-50.62,
25.41,0.4,-50.95,
25.52,0.403,-50.82,
25.63,0.406,-50.96,
25.74,0.408,-50,
25.85,0.411,-49.77,
25.96,0.413,-49.23,
26.07,0.416,-51,
26.18,0.419,-51.6,
26.29,0.421,-49.84,
26.4,0.424,-49.36,
26.51,0.426,-50.99,
26.62,0.429,-50.36,
26.73,0.431,-51.95,
26.84,0.434,-52.44,
26.95,0.436,-52,
27.06,0.439,-50.44,
27.17,0.441,-50.08,
27.28,0.444,-50.38,
27.39,0.447,-50.86,
27.5,0.449,-49.56,
27.61,0.452,-49.4,
27.72,0.454,-49.33,
27.83,0.457,-50.5,
27.94,0.459,-51.35,
28.05,0.462,-50.75,
